parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Homosassa Springs FL
13-Butadiene,2005,Parts per billion Carbon,0.096,Providence-Warwick RI-MA
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Tampa-St. Petersburg-Clearwater FL
Chromium (TSP) STP,2013,Micrograms/cubic meter (25 C),0.01,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
1122-Tetrachloroethane,2002,Parts per billion Carbon,0,Lancaster PA
1122-Tetrachloroethane,2005,Parts per billion Carbon,0.1,Portland-Vancouver-Hillsboro OR-WA
Acrolein - Unverified,2007,Parts per billion Carbon,0.25,Pittsburgh PA
Manganese (TSP) STP,2008,Micrograms/cubic meter (25 C),0.087,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Kansas City MO-KS
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
trans-13-Dichloropropene,2006,Parts per billion Carbon,0.02,Corpus Christi TX
Carbon tetrachloride,1994,Parts per billion Carbon,0.08,Kalamazoo-Portage MI
Cadmium PM10 STP,2010,Nanograms/cubic meter (25 C),0,Providence-Warwick RI-MA
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,Espa?ola NM
Vinyl chloride,2003,Parts per billion Carbon,0.01,Longview TX
12-Dichloropropane,2002,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Arsenic (TSP) STP,2013,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),5e-05,Asheville NC
Trichloroethylene,2003,Parts per billion Carbon,0.01,El Paso TX
Dichloromethane,1995,Parts per billion Carbon,0.258,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.013,Pittsburgh PA
trans-13-Dichloropropene,2017,Parts per billion Carbon,0,Indianapolis-Carmel-Anderson IN
12-Dichloropropane,2002,Parts per billion Carbon,0.02,Dallas-Fort Worth-Arlington TX
Nickel PM10 STP,2014,Nanograms/cubic meter (25 C),0.6,Milwaukee-Waukesha-West Allis WI
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Fargo ND-MN
Benzene,2003,Parts per billion Carbon,2.5,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Beaver Dam WI
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.003,Huntington-Ashland WV-KY-OH
Trichloroethylene,2004,Parts per billion Carbon,0.03,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Tetrachloroethylene,1998,Parts per billion Carbon,1.9,San Francisco-Oakland-Hayward CA
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Tetrachloroethylene,2007,Parts per billion Carbon,0.1,Charlotte-Concord-Gastonia NC-SC
Formaldehyde,2013,Parts per billion Carbon,3.6,Richmond VA
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Taos NM
Carbon tetrachloride,2001,Parts per billion Carbon,0.07,Sioux Falls SD
Benzene,2006,Parts per billion Carbon,1.962,Providence-Warwick RI-MA
cis-13-Dichloropropene,2006,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Tetrachloroethylene,2009,Parts per billion Carbon,0.05,Minneapolis-St. Paul-Bloomington MN-WI
Vinyl chloride,1991,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Lead PM10 STP,2004,Micrograms/cubic meter (25 C),0.006,Portland-Vancouver-Hillsboro OR-WA
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Bowling Green KY
Arsenic (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Vinyl chloride,2010,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Chromium PM2.5 LC,1996,Micrograms/cubic meter (LC),0,Charleston-North Charleston SC
Acrolein - Unverified,2008,Parts per billion Carbon,0.783,Tampa-St. Petersburg-Clearwater FL
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Manganese (TSP) STP,1997,Micrograms/cubic meter (25 C),0.032,Chicago-Naperville-Elgin IL-IN-WI
Carbon tetrachloride,2007,Parts per billion Carbon,0.105,Tupelo MS
Cadmium (TSP) STP,2003,Micrograms/cubic meter (25 C),0,Greenville-Anderson-Mauldin SC
13-Butadiene,2001,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese (TSP) STP,1993,Micrograms/cubic meter (25 C),0.019,Chicago-Naperville-Elgin IL-IN-WI
Vinyl chloride,2012,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
12-Dichloropropane,2005,Parts per billion Carbon,0.02,McAllen-Edinburg-Mission TX
13-Butadiene,2011,Parts per billion Carbon,0.52,El Centro CA
Manganese PM10 STP,1998,Nanograms/cubic meter (25 C),21,Bishop CA
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Fort Collins CO
Trichloroethylene,2006,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Benzene,2012,Parts per billion Carbon,1.799496,San Francisco-Oakland-Hayward CA
1122-Tetrachloroethane,2010,Parts per billion Carbon,0,Beaumont-Port Arthur TX
Formaldehyde,2000,Parts per billion Carbon,3.3,Sacramento--Roseville--Arden-Arcade CA
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Asheville NC
Ethylene dichloride,2006,Parts per billion Carbon,0,
Arsenic PM2.5 LC,1997,Micrograms/cubic meter (LC),0.00027,
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Charleston-North Charleston SC
Acrolein - Unverified,2011,Parts per billion Carbon,0.2,
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Berlin NH-VT
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,
Acetaldehyde,2008,Parts per billion Carbon,4.2,Riverside-San Bernardino-Ontario CA
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Chicago-Naperville-Elgin IL-IN-WI
Beryllium PM10 STP,2015,Nanograms/cubic meter (25 C),0,Houston-The Woodlands-Sugar Land TX
Arsenic (TSP) STP,2001,Micrograms/cubic meter (25 C),0,New York-Newark-Jersey City NY-NJ-PA
Ethylene dibromide,2014,Parts per billion Carbon,0,Providence-Warwick RI-MA
Ethylene dibromide,2013,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
13-Butadiene,2005,Parts per billion Carbon,0.44,Houston-The Woodlands-Sugar Land TX
Chloroform,2001,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,1992,Micrograms/cubic meter (LC),0.0003,Jackson WY-ID
Chloroform,2007,Parts per billion Carbon,0.02047,Rutland VT
Beryllium (TSP) STP,2007,Nanograms/cubic meter (25 C),0,Wheeling WV-OH
Nickel PM2.5 LC,2016,Micrograms/cubic meter (LC),-0.001,Helena MT
Acrolein - Verified,2012,Parts per billion Carbon,0.2,Boston-Cambridge-Newton MA-NH
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Columbia SC
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Rochester NY
13-Butadiene,2007,Parts per billion Carbon,0.28,Wheeling WV-OH
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0002,Tallahassee FL
Tetrachloroethylene,2004,Parts per billion Carbon,0.03,Minneapolis-St. Paul-Bloomington MN-WI
Vinyl chloride,2012,Parts per billion Carbon,0,Richmond VA
Ethylene dichloride,2012,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Vinyl chloride,2014,Parts per billion Carbon,0,Austin-Round Rock TX
12-Dichloropropane,2014,Parts per billion Carbon,0,Portland-Vancouver-Hillsboro OR-WA
Ethylene dibromide,2011,Parts per billion Carbon,0,Washington-Arlington-Alexandria DC-VA-MD-WV
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Ethylene dibromide,2009,Parts per billion Carbon,0,
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.002,Omaha-Council Bluffs NE-IA
Nickel (TSP) STP,2006,Micrograms/cubic meter (25 C),0.00091,Milledgeville GA
13-Butadiene,2011,Parts per billion Carbon,0.019048,Dallas-Fort Worth-Arlington TX
13-Butadiene,1996,Parts per billion Carbon,0.5,Sacramento--Roseville--Arden-Arcade CA
Formaldehyde,2002,Parts per billion Carbon,6.15,Los Angeles-Long Beach-Anaheim CA
12-Dichloropropane,2005,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel (TSP) STP,2004,Micrograms/cubic meter (25 C),0,Greenwood SC
Trichloroethylene,1992,Parts per billion Carbon,0.02,Buffalo-Cheektowaga-Niagara Falls NY
Cadmium (TSP) STP,2005,Micrograms/cubic meter (25 C),0,Georgetown SC
12-Dichloropropane,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
12-Dichloropropane,2015,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Manganese PM10 STP,2013,Nanograms/cubic meter (25 C),26,Houston-The Woodlands-Sugar Land TX
Chromium (TSP) STP,2002,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
1122-Tetrachloroethane,2016,Parts per billion Carbon,0,Weirton-Steubenville WV-OH
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.0034,Rochester NY
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Birmingham-Hoover AL
trans-13-Dichloropropene,1996,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Ethylene dichloride,2016,Parts per billion Carbon,0.04,
Ethylene dibromide,2015,Parts per billion Carbon,0,Albany-Schenectady-Troy NY
13-Butadiene,2016,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
cis-13-Dichloropropene,1998,Parts per billion Carbon,0,New Orleans-Metairie LA
Carbon tetrachloride,2010,Parts per billion Carbon,0.099,Sioux Falls SD
trans-13-Dichloropropene,2001,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Fresno CA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.0019,Toledo OH
trans-13-Dichloropropene,2013,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
13-Butadiene,2003,Parts per billion Carbon,0.572727,El Paso TX
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0047,St. Louis MO-IL
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
Benzene,1993,Parts per billion Carbon,2.4,Beaumont-Port Arthur TX
Trichloroethylene,2003,Parts per billion Carbon,0.02,Chico CA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0.004,
Benzene,2010,Parts per billion Carbon,0.143043,Indianapolis-Carmel-Anderson IN
Arsenic PM10 STP,2011,Nanograms/cubic meter (25 C),0.53,Ogden-Clearfield UT
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,San Juan-Carolina-Caguas PR
Chromium PM2.5 LC,1993,Micrograms/cubic meter (LC),0,Knoxville TN
Ethylene dibromide,2002,Parts per billion Carbon,0,Grand Rapids-Wyoming MI
Carbon tetrachloride,2009,Parts per billion Carbon,0.1,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00384,Canton-Massillon OH
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Bowling Green KY
Ethylene dibromide,2008,Parts per billion Carbon,0,Lafayette-West Lafayette IN
Acetaldehyde,2011,Parts per billion Carbon,1.84,Orlando-Kissimmee-Sanford FL
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Helena MT
Tetrachloroethylene,2012,Parts per billion Carbon,0.1,Washington-Arlington-Alexandria DC-VA-MD-WV
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Tucson AZ
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0.002,Atlanta-Sandy Springs-Roswell GA
Arsenic (TSP) STP,2005,Micrograms/cubic meter (25 C),0.00026,Cadillac MI
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Kahului-Wailuku-Lahaina HI
12-Dichloropropane,2001,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0,
Chromium (TSP) STP,2002,Micrograms/cubic meter (25 C),0,Hilton Head Island-Bluffton-Beaufort SC
Tetrachloroethylene,2003,Parts per billion Carbon,0.08,Riverside-San Bernardino-Ontario CA
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.0016,Kingsport-Bristol-Bristol TN-VA
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Columbia SC
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,Tallahassee FL
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Chicago-Naperville-Elgin IL-IN-WI
Manganese (TSP) STP,2011,Micrograms/cubic meter (25 C),0.00204,Macon GA
Vinyl chloride,2009,Parts per billion Carbon,0,Washington-Arlington-Alexandria DC-VA-MD-WV
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.0009,El Paso TX
Ethylene dichloride,2013,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Beryllium (TSP) STP,2003,Nanograms/cubic meter (25 C),0.1,Port Clinton OH
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Nickel PM10 STP,1990,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Trichloroethylene,2005,Parts per billion Carbon,0.02,Baltimore-Columbia-Towson MD
Manganese PM2.5 LC,1999,Micrograms/cubic meter (LC),0,
Arsenic (TSP) STP,2002,Micrograms/cubic meter (25 C),0.001,San Diego-Carlsbad CA
Cadmium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Memphis TN-MS-AR
Carbon tetrachloride,2010,Parts per billion Carbon,0.1,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Trichloroethylene,1992,Parts per billion Carbon,0.12,Buffalo-Cheektowaga-Niagara Falls NY
Manganese PM10 STP,2014,Nanograms/cubic meter (25 C),4,Detroit-Warren-Dearborn MI
1122-Tetrachloroethane,2016,Parts per billion Carbon,0,Tulsa OK
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Kansas City MO-KS
12-Dichloropropane,1998,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Ethylene dichloride,2013,Parts per billion Carbon,0,San Jose-Sunnyvale-Santa Clara CA
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,
Ethylene dibromide,2001,Parts per billion Carbon,0,Phoenix-Mesa-Scottsdale AZ
Manganese PM2.5 LC,1994,Micrograms/cubic meter (LC),0,Idaho Falls ID
Benzene,2008,Parts per billion Carbon,6.72,Houston-The Woodlands-Sugar Land TX
cis-13-Dichloropropene,2005,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Tetrachloroethylene,2000,Parts per billion Carbon,0,Cedar Rapids IA
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Chromium PM10 STP,2001,Nanograms/cubic meter (25 C),5,Houston-The Woodlands-Sugar Land TX
Chloroform,2014,Parts per billion Carbon,0.01,McAllen-Edinburg-Mission TX
13-Butadiene,2005,Parts per billion Carbon,0.08,Minneapolis-St. Paul-Bloomington MN-WI
13-Butadiene,1997,Parts per billion Carbon,0,Midland MI
Chromium VI (TSP) STP,2005,Micrograms/cubic meter (25 C),3e-05,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Chromium (TSP) STP,2005,Micrograms/cubic meter (25 C),0.025,Chicago-Naperville-Elgin IL-IN-WI
Formaldehyde,2012,Parts per billion Carbon,0.9,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,2002,Parts per billion Carbon,0.11,San Francisco-Oakland-Hayward CA
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Winona MN
1122-Tetrachloroethane,2011,Parts per billion Carbon,0,
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0022,Harrisburg-Carlisle PA
Chromium (TSP) STP,1999,Micrograms/cubic meter (25 C),0.004,Bakersfield CA
Manganese (TSP) STP,2015,Micrograms/cubic meter (25 C),0.17,Detroit-Warren-Dearborn MI
Chromium (TSP) STP,1995,Micrograms/cubic meter (25 C),0.01,St. Louis MO-IL
cis-13-Dichloropropene,2015,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chloroform,2004,Parts per billion Carbon,0.01,El Paso TX
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.003,Chico CA
cis-13-Dichloropropene,2005,Parts per billion Carbon,0.15,El Centro CA
Ethylene dibromide,2006,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese (TSP) STP,2008,Micrograms/cubic meter (25 C),0.03,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),0.001,Lawton OK
Carbon tetrachloride,1993,Parts per billion Carbon,0.1,Modesto CA
Chloroform,2016,Parts per billion Carbon,0.01,Oxnard-Thousand Oaks-Ventura CA
Ethylene dibromide,2007,Parts per billion Carbon,0,Seattle-Tacoma-Bellevue WA
Benzene,2002,Parts per billion Carbon,1.18,Riverside-San Bernardino-Ontario CA
Ethylene dichloride,2014,Parts per billion Carbon,0.04,Minneapolis-St. Paul-Bloomington MN-WI
Carbon tetrachloride,1997,Parts per billion Carbon,0.01,Buffalo-Cheektowaga-Niagara Falls NY
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Flagstaff AZ
Tetrachloroethylene,2006,Parts per billion Carbon,0,San Juan-Carolina-Caguas PR
Ethylene dibromide,2002,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,New York-Newark-Jersey City NY-NJ-PA
Beryllium PM10 STP,2008,Nanograms/cubic meter (25 C),0,
Cadmium PM10 STP,1995,Nanograms/cubic meter (25 C),0,Topeka KS
Vinyl chloride,2012,Parts per billion Carbon,0,Rochester NY
Cadmium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Cadillac MI
12-Dichloropropane,2008,Parts per billion Carbon,0.36,Marshall TX
Manganese PM2.5 LC,1993,Micrograms/cubic meter (LC),0.0009,Bennington VT
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Rochester MN
cis-13-Dichloropropene,2000,Parts per billion Carbon,0,Alexandria MN
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.015,Pittsburgh PA
Benzene,2006,Parts per billion Carbon,3.2,Atlanta-Sandy Springs-Roswell GA
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Fargo ND-MN
Chromium PM2.5 LC,1990,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2008,Parts per billion Carbon,0.01,Brownsville-Harlingen TX
Carbon tetrachloride,1998,Parts per billion Carbon,0.1,Baltimore-Columbia-Towson MD
Formaldehyde,2007,Parts per billion Carbon,3.2,
1122-Tetrachloroethane,2006,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Benzene,2013,Parts per billion Carbon,0.488636,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00284,
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Dichloromethane,2006,Parts per billion Carbon,0.22,Houston-The Woodlands-Sugar Land TX
Ethylene dichloride,2005,Parts per billion Carbon,0,Beaver Dam WI
1122-Tetrachloroethane,2000,Parts per billion Carbon,0,Brownsville-Harlingen TX
Chloroform,2005,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Tetrachloroethylene,2010,Parts per billion Carbon,0,Portland-South Portland ME
Tetrachloroethylene,2007,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Nickel (TSP) STP,1995,Micrograms/cubic meter (25 C),0,Columbia SC
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00027,
Formaldehyde,2004,Parts per billion Carbon,0.5,Minneapolis-St. Paul-Bloomington MN-WI
Tetrachloroethylene,2005,Parts per billion Carbon,0,Rutland VT
Beryllium (TSP) STP,2015,Nanograms/cubic meter (25 C),0.008,Oklahoma City OK
13-Butadiene,2012,Parts per billion Carbon,0.47,Minneapolis-St. Paul-Bloomington MN-WI
Cadmium (TSP) STP,1993,Micrograms/cubic meter (25 C),0.0003,Oxnard-Thousand Oaks-Ventura CA
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Bennington VT
Manganese (TSP) STP,2016,Micrograms/cubic meter (25 C),0.00925,Grand Rapids-Wyoming MI
Nickel PM10 STP,1990,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
cis-13-Dichloropropene,2000,Parts per billion Carbon,0,Ann Arbor MI
Carbon tetrachloride,2013,Parts per billion Carbon,0.09,Houston-The Woodlands-Sugar Land TX
Vinyl chloride,2014,Parts per billion Carbon,0,Huntington-Ashland WV-KY-OH
Ethylene dichloride,2005,Parts per billion Carbon,0.02,Minneapolis-St. Paul-Bloomington MN-WI
Acetaldehyde,1999,Parts per billion Carbon,3.8,Riverside-San Bernardino-Ontario CA
Dichloromethane,2006,Parts per billion Carbon,0.03,Beaumont-Port Arthur TX
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese (TSP) STP,2006,Micrograms/cubic meter (25 C),0.03763,Detroit-Warren-Dearborn MI
Ethylene dichloride,2002,Parts per billion Carbon,0,
1122-Tetrachloroethane,2001,Parts per billion Carbon,0.01,Corpus Christi TX
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.002,Birmingham-Hoover AL
Chromium (TSP) STP,1995,Micrograms/cubic meter (25 C),0,St. Louis MO-IL
Benzene,1997,Parts per billion Carbon,2.1,Laredo TX
Acrolein - Unverified,2002,Parts per billion Carbon,0,Fresno CA
13-Butadiene,2007,Parts per billion Carbon,0,Lewisburg PA
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Los Angeles-Long Beach-Anaheim CA
Tetrachloroethylene,2003,Parts per billion Carbon,0,Madison WI
Arsenic PM10 STP,2000,Nanograms/cubic meter (25 C),1,Clearlake CA
Chloroform,2014,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Arsenic PM2.5 LC,1993,Micrograms/cubic meter (LC),0,Klamath Falls OR
Chromium (TSP) STP,2010,Micrograms/cubic meter (25 C),0.006,Urban Honolulu HI
Chloroform,1998,Parts per billion Carbon,0.11,Washington-Arlington-Alexandria DC-VA-MD-WV
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Trichloroethylene,2002,Parts per billion Carbon,0,Douglas GA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.0039,Raleigh NC
Beryllium PM10 STP,1990,Nanograms/cubic meter (25 C),0,Wichita KS
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Beryllium (TSP) STP,2005,Nanograms/cubic meter (25 C),0.016,Grand Rapids-Wyoming MI
1122-Tetrachloroethane,2012,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Tetrachloroethylene,2003,Parts per billion Carbon,0.02,Salisbury MD-DE
Tetrachloroethylene,2011,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Vinyl chloride,2016,Parts per billion Carbon,0.1,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Carbon tetrachloride,2001,Parts per billion Carbon,0.08,Los Angeles-Long Beach-Anaheim CA
Arsenic PM2.5 LC,1993,Micrograms/cubic meter (LC),0.0002,Glenwood Springs CO
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Denver-Aurora-Lakewood CO
Trichloroethylene,2000,Parts per billion Carbon,0.06,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Vinyl chloride,2005,Parts per billion Carbon,0,Lancaster PA
Tetrachloroethylene,2005,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
